caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,uscite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,caseid,parties,year,overruled,overruling,indeg,outdeg
1982-103,1982-103-01,1982-103-01-01,1982-103-01-01-01,6/8/1983,1.0,462US213,103 S. Ct. 2317,76 L. Ed. 2d 527,1983 U.S. LEXIS 54,1982.0,1507.0,Burger,81-430,ILLINOIS v. GATES ET UX.,10/13/1982,3/1/1983,28.0,17.0,100.0,,1.0,,,0.0,302.0,17.0,300.0,17.0,1.0,11.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,10050.0,1.0,1.0,0.0,2.0,,2.0,205.0,,102.0,99.0,1.0,6.0,3.0,27624.0,Ill. v. Gates,1983.0,0.0,23096 24379,36.0,106.0
1982-163,1982-163-01,1982-163-01-01,1982-163-01-01-01,7/6/1983,1.0,463US1032,103 S. Ct. 3469,77 L. Ed. 2d 1201,1983 U.S. LEXIS 7,1982.0,1507.0,Burger,82-256,MICHIGAN v. LONG,2/23/1983,,28.0,27.0,100.0,,1.0,,,0.0,302.0,27.0,300.0,27.0,1.0,10.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10060.0,1.0,1.0,0.0,2.0,,2.0,205.0,,104.0,99.0,1.0,6.0,3.0,,,,,,,
1983-029,1983-029-01,1983-029-01-01,1983-029-01-01-01,1/23/1984,1.0,465US89,104 S. Ct. 900,79 L. Ed. 2d 67,1984 U.S. LEXIS 4,1983.0,1507.0,Burger,81-2101,PENNHURST STATE SCHOOL AND HOSPITAL et al. v. HALDERMAN et al.,2/22/1983,10/3/1983,167.0,,229.0,,1.0,117.0,45.0,0.0,109.0,,23.0,,1.0,12.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,100120.0,10.0,1.0,0.0,2.0,,2.0,224.0,,101.0,99.0,1.0,5.0,4.0,,,,,,,
1983-038,1983-038-01,1983-038-01-01,1983-038-01-01-01,2/22/1984,1.0,465US354,104 S. Ct. 1099,79 L. Ed. 2d 361,1984 U.S. LEXIS 31,1983.0,1507.0,Burger,82-1047,UNITED STATES v. ONE ASSORTMENT OF 89 FIREARMS,11/30/1983,,27.0,,195.0,,1.0,,,0.0,114.0,,24.0,,1.0,11.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10170.0,1.0,1.0,0.0,1.0,,2.0,206.0,,99.0,99.0,1.0,9.0,0.0,27771.0,United States v. One Assortment of 89 Firearms,1984.0,0.0,7394,12.0,14.0
1983-074,1983-074-01,1983-074-01-01,1983-074-01-01-01,4/18/1984,1.0,466US353,104 S. Ct. 1837,80 L. Ed. 2d 356,1984 U.S. LEXIS 62,1983.0,1507.0,Burger,83-96,"LIMBACH, TAX COMMISSIONER OF OHIO v. HOOVEN & ALLISON CO.",2/22/1984,,28.0,41.0,184.0,,1.0,117.0,41.0,0.0,302.0,41.0,300.0,41.0,0.0,12.0,3.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,80100.0,8.0,2.0,0.0,2.0,,1.0,129.0,,100.0,99.0,1.0,9.0,0.0,27819.0,Limbach v. Hooven & Allison Co.,1984.0,0.0,20003,2.0,14.0
1983-131,1983-131-01,1983-131-01-01,1983-131-01-01-01,6/19/1984,1.0,467US752,104 S. Ct. 2731,81 L. Ed. 2d 628,1984 U.S. LEXIS 115,1983.0,1507.0,Burger,82-1260,COPPERWELD CORP. et al. v. INDEPENDENCE TUBE CORP.,12/5/1983,,184.0,,184.0,,1.0,,,0.0,66.0,,27.0,,0.0,11.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,80010.0,8.0,1.0,0.0,4.0,,3.0,367.0,,99.0,99.0,1.0,5.0,3.0,27885.0,Copperweld Corp. v. Independence Tube Corp.,1984.0,0.0,20349 20732,8.0,45.0
1984-029,1984-029-01,1984-029-01-01,1984-029-01-01-01,2/19/1985,1.0,469US528,105 S. Ct. 1005,83 L. Ed. 2d 1016,1985 U.S. LEXIS 48,1984.0,1507.0,Burger,82-1913,GARCIA v. SAN ANTONIO METROPOLITAN TRANSIT AUTHORITY et al.,3/19/1984,10/1/1984,8.0,51.0,18.0,51.0,2.0,71.0,,0.0,122.0,,122.0,,0.0,1.0,,1.0,1.0,4.0,0.0,1.0,1.0,0.0,70040.0,7.0,2.0,0.0,1.0,,3.0,334.0,,100.0,92.0,1.0,5.0,4.0,27996.0,Garcia v. San Antonio Metro. Transit Auth.,1985.0,0.0,26158,30.0,53.0
1984-072,1984-072-01,1984-072-01-01,1984-072-01-01-01,4/1/1985,1.0,471US130,105 S. Ct. 1811,85 L. Ed. 2d 99,1985 U.S. LEXIS 200,1984.0,1507.0,Burger,83-1750,UNITED STATES v. MILLER,1/16/1985,,27.0,,137.0,,1.0,,,0.0,50.0,,29.0,,0.0,12.0,8.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,10600.0,1.0,1.0,0.0,1.0,,2.0,208.0,,98.0,99.0,1.0,8.0,0.0,28066.0,United States v. Miller,1985.0,0.0,7741,3.0,17.0
1985-024,1985-024-01,1985-024-01-01,1985-024-01-01-01,1/21/1986,1.0,474US327,106 S. Ct. 662,88 L. Ed. 2d 662,1986 U.S. LEXIS 43,1985.0,1507.0,Burger,84-5872,DANIELS v. WILLIAMS,11/6/1985,,215.0,,19.0,55.0,1.0,,,0.0,126.0,,24.0,,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,20400.0,2.0,1.0,0.0,2.0,,2.0,230.0,,102.0,99.0,1.0,9.0,0.0,28241.0,Daniels v. Williams,1986.0,0.0,27137,22.0,42.0
1985-029,1985-029-01,1985-029-01-01,1985-029-01-01-01,1/27/1986,1.0,474US438,106 S. Ct. 725,88 L. Ed. 2d 814,1986 U.S. LEXIS 48,1985.0,1507.0,Burger,84-744,UNITED STATES v. LANE et al.,10/9/1985,,27.0,,100.0,,1.0,,,0.0,120.0,,25.0,,0.0,2.0,3.0,2.0,1.0,7.0,0.0,1.0,1.0,0.0,10370.0,1.0,1.0,0.0,4.0,,4.0,401.0,,99.0,99.0,1.0,5.0,4.0,,,,,,,
1985-078,1985-078-01,1985-078-01-01,1985-078-01-01-01,4/30/1986,1.0,476US79,106 S. Ct. 1712,90 L. Ed. 2d 69,1986 U.S. LEXIS 150,1985.0,1507.0,Burger,84-6263,BATSON v. KENTUCKY,12/12/1985,,100.0,,28.0,21.0,1.0,,,0.0,302.0,21.0,300.0,21.0,0.0,12.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,20040.0,2.0,2.0,0.0,2.0,,2.0,231.0,,101.0,92.0,1.0,7.0,2.0,28326.0,Batson v. Kentucky,1986.0,0.0,23269,35.0,74.0
